repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2990763110,88,Trung tâm thông tin Etherscan | Hiểu về trừu tượng hóa tài khoản ERC-4337,tài khoản ERC,tramCamLinh,185842495,open,False,1,2025-04-12T23:07:05+00:00,2025-04-13T17:13:59+00:00,,,1,0,0,0,0,0,1
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2985236221,87,My account address:,0x99913d716A5c47AdCA48AB17C30c508A3F2c716A,tramCamLinh,185842495,open,False,0,2025-04-10T10:39:53+00:00,2025-04-10T10:39:53+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2968653351,86,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/issues/85,,tramCamLinh,185842495,open,False,0,2025-04-03T07:54:35+00:00,2025-04-03T07:54:35+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2941649576,85,cbc9bffabae676a42e1c2e73755cc47804575b2f,,tramCamLinh,185842495,open,False,0,2025-03-24T00:11:57+00:00,2025-03-24T00:11:57+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2918534729,84,Primer Commit - Práctica Cursera,,Aidmora,90359950,closed,False,0,2025-03-13T22:46:31+00:00,2025-03-13T22:46:50+00:00,2025-03-13T22:46:50+00:00,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2855423043,83,Project ,,Nirmaldhanani,199115896,open,False,0,2025-02-15T11:39:30+00:00,2025-02-15T11:39:30+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2832753103,82,Please Add LLM Based projects,,sanskaryo,104834389,open,False,1,2025-02-05T12:04:50+00:00,2025-02-12T11:30:21+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2792583333,81,Ai resources,,Tiho-5854,172914631,open,False,0,2025-01-16T12:20:42+00:00,2025-01-16T12:20:42+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2782403176,80,FirstAdd,,Ajitashoka,100071266,closed,False,1,2025-01-12T10:51:34+00:00,2025-04-07T22:52:54+00:00,2025-04-07T22:52:53+00:00,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2776693062,79,Project ideas,,wolfykulfi,141806996,closed,False,0,2025-01-09T02:23:04+00:00,2025-01-09T02:23:21+00:00,2025-01-09T02:23:21+00:00,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2766355258,78,DS,,Sachit-K,154425832,open,False,0,2025-01-02T17:02:20+00:00,2025-01-02T17:02:20+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2753814391,77,ML,,Navi2008,116337527,open,False,0,2024-12-21T07:04:20+00:00,2024-12-21T07:04:20+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2751796648,76,AI ML,,me-abhishekgupta,174368881,open,False,0,2024-12-20T02:38:31+00:00,2024-12-20T02:38:31+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2749680444,75,My career,,srinivasl4,167669007,open,False,0,2024-12-19T09:05:35+00:00,2024-12-19T09:05:35+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2749514500,74,AI,,Bigyant,121954931,open,False,0,2024-12-19T07:46:42+00:00,2024-12-19T07:46:42+00:00,,,0,0,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2561285395,72,Update README.md,Its Important to make it clear,HrsFlex,116896176,open,False,1,2024-10-02T11:11:04+00:00,2024-11-20T15:36:16+00:00,,,1,1,0,0,0,0,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2429065421,70,rm sponsor,,gitsponsored,173217521,closed,False,0,2024-07-25T05:37:01+00:00,2024-07-26T13:06:49+00:00,2024-07-26T13:06:49+00:00,,0,0,0,0,0,0,0
